ID,City,Country Code,Country,Date,Cloudiness,Humidity,Lat,Lng,Max Temp,Wind Speed
365,haines junction,CA,Burundi,1555618997,96,70,60.75,-137.51,273.7,4.08
367,parsabad,AZ,austria,1555617600,75,81,39.65,47.92,282.15,11.8
368,aksarka,RU,Romania,1555619079,100,89,66.56,67.8,269.1,4.69
369,ahipara,NZ,Norway,1555619080,19,70,-35.17,173.16,291,6.2
370,sobolevo,RU,Romania,1555619081,0,65,54.43,31.9,278.6,4.62
371,liuhe,CN,China,1555619082,100,27,42.28,125.73,275.8,2.46
372,makat,KZ,Kyrgyzstan,1555619084,2,58,47.65,53.35,274.5,3.83
373,liverpool,GB,Gambia,1555618835,20,58,53.41,-2.98,289.26,4.6
374,ugoofaaru,MV,Mozambique,1555619086,100,74,5.67,73,301.7,3.12
375,skeldon,GY,Guyana,1555619088,100,78,5.88,-57.13,300.4,3.09
376,carnarvon,ZA,Yemen,1555619089,0,14,-30.97,22.13,289.7,1.53
377,yeppoon,au,Aruba,1555615800,7,82,-23.13,150.74,292.15,1.5
378,saint-augustin,FR,Finland,1555619089,0,55,44.83,-0.61,290.15,2.1
379,kataysk,RU,Romania,1555619092,21,65,56.29,62.58,271,2.14
380,nizhniy tsasuchey,RU,Romania,1555619061,0,38,50.52,115.13,274.5,5.04
381,presidencia roque saenz pena,AR,Antigua and Barbuda,1555619069,81,54,-26.79,-60.44,301.3,1.6
382,shaowu,CN,China,1555619097,100,96,27.34,117.49,291.6,1.97
383,meridian,US,United States of America,1555617360,75,61,32.36,-88.7,300.15,4.1
384,zaysan,KZ,Kyrgyzstan,1555618888,51,61,47.47,84.87,270.1,3.38
385,preobrazheniye,RU,Romania,1555619100,0,44,42.9,133.91,271.8,2.38
386,blatec,MK,"Micronesia, Federated States of",1555619101,6,90,41.84,22.58,276.6,2.95
387,matamoros,US,United States of America,1555618826,1,27,25.87,-97.51,305.15,9.8
388,eureka,US,United States of America,1555619015,90,93,40.8,-124.16,298.15,3.1
390,kitgum,UG,Tuvalu,1555619107,14,59,3.3,32.88,296.2,1.36
391,shimanovsk,RU,Romania,1555619108,0,40,52,127.67,268.8,5.98
392,balakhta,RU,Romania,1555619110,100,57,55.38,91.62,267.3,11.12
393,banda aceh,ID,Iceland,1555619111,100,71,5.56,95.32,302.6,3.42
394,dongfeng,CN,China,1555619113,86,27,42.67,125.53,275.1,3.08
395,phonhong,LA,Kyrgyzstan,1555619114,0,59,18.5,102.42,299,0.69
396,nauta,PE,Paraguay,1555619115,100,92,-4.51,-73.58,300.8,1.64
397,abu zabad,SD,Saudi Arabia,1555619116,5,8,12.35,29.25,303.1,8.79
398,deder,ET,Estonia,1555619118,19,47,9.31,41.44,298.9,2.86
399,praia da vitoria,PT,Portugal,1555618584,40,72,38.73,-27.07,293.15,3.73
400,arman,RU,Romania,1555619120,95,85,59.7,150.17,268.7,2.14
402,port blair,IN,India,1555619123,78,64,11.67,92.75,302.7,1.86
403,riberalta,BO,Bhutan,1555614000,75,55,-11,-66.08,306.15,3.1
404,eseka,CM,China,1555619125,100,96,3.65,10.77,297.3,1.3
405,barguzin,RU,Romania,1555619126,97,65,53.62,109.63,272.1,1.51
406,poum,MK,"Micronesia, Federated States of",1555618993,1,81,41.28,20.71,277.8,2.3
407,constitucion,MX,Mozambique,1555618817,5,9,23.99,-104.67,295.15,1
408,mackenzie,CA,Burundi,1555617600,40,43,55.34,-123.09,284.15,7.2
410,klaksvik,FO,Finland,1555617000,54,81,62.23,-6.59,282.15,5.7
411,tuy hoa,VN,"Virgin Islands, US",1555619134,28,84,13.08,109.3,297.8,1.06
412,homer,US,United States of America,1555619092,90,86,59.64,-151.54,276.48,5.7
413,burnie,au,Aruba,1555618938,0,74,-41.05,145.91,280.93,3.13
415,lagunillas,VE,Vanuatu,1555619139,100,79,8.5,-71.39,295.3,1.85
